DATE,GS10,GS5,GS1
2009-09-01,3.40,2.37,0.40
2009-10-01,3.39,2.33,0.37
2009-11-01,3.40,2.23,0.31
2009-12-01,3.59,2.34,0.37
2010-01-01,3.73,2.48,0.35
2010-02-01,3.69,2.36,0.35
2010-03-01,3.73,2.43,0.40
2010-04-01,3.85,2.58,0.45
2010-05-01,3.42,2.18,0.37
2010-06-01,3.20,2.00,0.32
2010-07-01,3.01,1.76,0.29
2010-08-01,2.70,1.47,0.26
2010-09-01,2.65,1.41,0.26
2010-10-01,2.54,1.18,0.23
2010-11-01,2.76,1.35,0.25
2010-12-01,3.29,1.93,0.29
2011-01-01,3.39,1.99,0.27
2011-02-01,3.58,2.26,0.29
2011-03-01,3.41,2.11,0.26
2011-04-01,3.46,2.17,0.25
2011-05-01,3.17,1.84,0.19
2011-06-01,3.00,1.58,0.18
2011-07-01,3.00,1.54,0.19
2011-08-01,2.30,1.02,0.11
2011-09-01,1.98,0.90,0.10
2011-10-01,2.15,1.06,0.11
2011-11-01,2.01,0.91,0.11
2011-12-01,1.98,0.89,0.12
2012-01-01,1.97,0.84,0.12
2012-02-01,1.97,0.83,0.16
2012-03-01,2.17,1.02,0.19
2012-04-01,2.05,0.89,0.18
2012-05-01,1.80,0.76,0.19
2012-06-01,1.62,0.71,0.19
2012-07-01,1.53,0.62,0.19
2012-08-01,1.68,0.71,0.18
2012-09-01,1.72,0.67,0.18
2012-10-01,1.75,0.71,0.18
2012-11-01,1.65,0.67,0.18
2012-12-01,1.72,0.70,0.16
2013-01-01,1.91,0.81,0.15
2013-02-01,1.98,0.85,0.16
2013-03-01,1.96,0.82,0.15
2013-04-01,1.76,0.71,0.12
2013-05-01,1.93,0.84,0.12
2013-06-01,2.30,1.20,0.14
2013-07-01,2.58,1.40,0.12
2013-08-01,2.74,1.52,0.13
2013-09-01,2.81,1.60,0.12
2013-10-01,2.62,1.37,0.12
2013-11-01,2.72,1.37,0.12
2013-12-01,2.90,1.58,0.13
2014-01-01,2.86,1.65,0.12
2014-02-01,2.71,1.52,0.12
2014-03-01,2.72,1.64,0.13
2014-04-01,2.71,1.70,0.11
2014-05-01,2.56,1.59,0.10
